product_id,name,image_url,created_at,updated_at,brand,store_id,category_id,active_status
11111111-1111-4111-a111-111111120001,Sony Bravia 55 Inch TV,https://cdn.mediamart.vn/images/product/smart-tivi-4k-sony-kd-55x75k-55-inch-google-tv_1494a379.webp,2026-03-26 10:00:00,2026-03-26 10:00:00,Sony,store_1,77777777-7777-4777-a777-777777777701,active
11111111-1111-4111-a111-111111120002,MacBook Air M2,https://pos.nvncdn.com/a135ac-81120/ps/20221201_HNdi80NLF7IvJX0Ss2nQv3LG.png?v=1673516347,2026-03-26 10:00:00,2026-03-26 10:00:00,Apple,store_1,77777777-7777-4777-a777-777777777701,active
11111111-1111-4111-a111-111111120003,Asus ROG Strix G15,https://product.hstatic.net/1000287389/product/h732__6__8bf1ab5c461a4caf97ac74a738911f8b_master.png,2026-03-26 10:00:00,2026-03-26 10:00:00,Asus,store_1,77777777-7777-4777-a777-777777777701,active

11111111-1111-4111-a111-111111120004,Men Cotton T-Shirt Basic,https://pos.nvncdn.com/f01d4a-83461/ps/20250812_VK2TBO47tH.jpeg?v=1754984456,2026-03-26 10:05:00,2026-03-26 10:05:00,H&M,store_1,77777777-7777-4777-a777-777777777702,active
11111111-1111-4111-a111-111111120005,Levis 511 Slim Jeans,https://cdn.vuahanghieu.com/unsafe/0x900/left/top/smart/filters:quality(90)/https://admin.vuahanghieu.com/upload/product/2025/04/quan-jean-nam-levi-s-flex-511-slim-fit-mau-xanh-dam-size-29-6807645e8520e-22042025164150.jpg,2026-03-26 10:05:00,2026-03-26 10:05:00,Levis,store_1,77777777-7777-4777-a777-777777777702,active

11111111-1111-4111-a111-111111120006,Coca-Cola Original,https://product.hstatic.net/1000282430/product/nuoc-ngot-coca-cola-nhat-500ml_f61289e9a50d41398d9711800846f9b0_grande.jpg,2026-03-26 10:10:00,2026-03-26 10:10:00,Coca-Cola,store_1,77777777-7777-4777-a777-777777777703,active
11111111-1111-4111-a111-111111120007,Pepsi Cola,https://vending-cdn.kootoro.com/torov-cms/upload/image/1718076206717-%C4%90%E1%BB%93%20u%E1%BB%91ng%20c%C3%B3%20gas%20Pepsi%20Cola.jpg,2026-03-26 10:10:00,2026-03-26 10:10:00,Pepsi,store_1,77777777-7777-4777-a777-777777777703,active
11111111-1111-4111-a111-111111120008,Sprite Lemon Soda,https://www.liquidz.com.hk/wp-content/uploads/2020/07/Sprite-Lemon-Lime-Flavoured-Soda-24-Cans-330mL.jpg,2026-03-26 10:10:00,2026-03-26 10:10:00,Coca-Cola,store_1,77777777-7777-4777-a777-777777777703,active
11111111-1111-4111-a111-111111120009,Fanta Orange Soda,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTQA0y6k6XOKQzJtMrg2TCmGiP76h0NKqE3gA&s,2026-03-26 10:10:00,2026-03-26 10:10:00,Coca-Cola,store_1,77777777-7777-4777-a777-777777777703,active
11111111-1111-4111-a111-111111120010,Tropicana Orange Juice,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQlxSzSXdrZH6ZWEkeH09izw3rCQ4NFaMfY9Q&s,2026-03-26 10:10:00,2026-03-26 10:10:00,Tropicana,store_1,77777777-7777-4777-a777-777777777703,active

11111111-1111-4111-a111-111111120011,Lays Classic Chips,https://digitalassets.pepsico.com/asset/b7197cb5-49b3-4517-ad40-afb1afb5eef1/Presentation-PNG/lays-classic-front-00028400199148.png,2026-03-26 10:15:00,2026-03-26 10:15:00,Lays,store_1,77777777-7777-4777-a777-777777777703,active

11111111-1111-4111-a111-111111120012,Philips Desk Lamp,https://www.assets.signify.com/is/image/Signify/61013%20Air%20LED%20desklight%20Black%20-%20Matt%20Black,2026-03-26 10:20:00,2026-03-26 10:20:00,Philips,store_1,77777777-7777-4777-a777-777777777704,active

11111111-1111-4111-a111-111111120013,IKEA Coffee Table Oak,https://www.ikea.com/gb/en/images/products/lack-coffee-table-white-stained-oak-effect__0411538_pe570463_s5.jpg?f=s,2026-03-26 10:25:00,2026-03-26 10:25:00,IKEA,store_1,77777777-7777-4777-a777-777777777705,active

11111111-1111-4111-a111-111111120014,Spigen Liquid Air Case,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRmd3Br8gtYb3tLX4kaCQHsKoq4Ih8JoUfcKA&s,2026-03-26 10:30:00,2026-03-26 10:30:00,Spigen,store_1,77777777-7777-4777-a777-777777777706,active

11111111-1111-4111-a111-111111120015,Panasonic Electric Fan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT-JqqHcBsG7Z21v3NzTFE47_nOQo1fuMPJdg&s,2026-03-26 10:35:00,2026-03-26 10:35:00,Panasonic,store_1,77777777-7777-4777-a777-777777777707,active

11111111-1111-4111-a111-111111120016,Maybelline Matte Lipstick,https://images-na.ssl-images-amazon.com/images/I/61LKpwK0gRL.jpg,2026-03-26 10:40:00,2026-03-26 10:40:00,Maybelline,store_1,77777777-7777-4777-a777-777777777708,active

11111111-1111-4111-a111-111111120017,Spalding Basketball,https://images-na.ssl-images-amazon.com/images/I/91A90PxvHHL.jpg,2026-03-26 10:45:00,2026-03-26 10:45:00,Spalding,store_1,77777777-7777-4777-a777-777777777709,active

11111111-1111-4111-a111-111111120018,Hasbro Monopoly Classic,https://www.hasbro.com/common/productimages/en_MY/7EABAF9750569047F5778F4663C79E75/6391588b30a50c012b79797c4735b2ebff9dae7b.jpg,2026-03-26 10:50:00,2026-03-26 10:50:00,Hasbro,store_1,77777777-7777-4777-a777-777777777710,active

11111111-1111-4111-a111-111111120019,Xiaomi Car Vacuum,https://ae01.alicdn.com/kf/Sfa67ee231acb47a69c0a313a72338cc7P.jpg?width=1080&height=1072&hash=2152,2026-03-26 10:55:00,2026-03-26 10:55:00,Xiaomi,store_1,77777777-7777-4777-a777-777777777711,active

11111111-1111-4111-a111-111111120020,Pedigree Dog Food,https://www.lottemart.vn/media/catalog/product/cache/0x0/9/3/9334214022925-1.jpg.webp,2026-03-26 11:00:00,2026-03-26 11:00:00,Pedigree,store_1,77777777-7777-4777-a777-777777777712,active

11111111-1111-4111-a111-111111120021,Deli Notebook A5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRo8fC5cp7ltoM-mRlI-jKAW86bQpNcvQ2Xeg&s,2026-03-26 11:05:00,2026-03-26 11:05:00,Deli,store_1,77777777-7777-4777-a777-777777777713,active

11111111-1111-4111-a111-111111120022,Blackmores Vitamin C,https://product.hstatic.net/1000398092/product/anh_chup_man_hinh__372__li_8e19ab0087be4f7e830df3e4b2b5796a.jpg,2026-03-26 11:10:00,2026-03-26 11:10:00,Blackmores,store_1,77777777-7777-4777-a777-777777777714,active

11111111-1111-4111-a111-111111120023,Pampers Baby Diapers,https://www.quickpantry.in/cdn/shop/products/pampers-baby-dry-pants-large-9-14-kg-quick-pantry.jpg?v=1710539045,2026-03-26 11:15:00,2026-03-26 11:15:00,Pampers,store_1,77777777-7777-4777-a777-777777777715,active

11111111-1111-4111-a111-111111120024,Pandora Silver Necklace,https://cdn.vuahanghieu.com/unsafe/0x900/left/top/smart/filters:quality(90)/https://admin.vuahanghieu.com/upload/product/2023/11/day-chuyen-nu-pandora-sparkling-herbarium-circle-cluster-pendant-necklace-392620c01-45-mau-bac-65572cf68c363-17112023160558.jpg,2026-03-26 11:20:00,2026-03-26 11:20:00,Pandora,store_1,77777777-7777-4777-a777-777777777716,active

11111111-1111-4111-a111-111111120025,ST25 Rice Premium,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ3DqVGQ6JyZti9k3xTMtSNVq5rlUIK1YGiRw&s,2026-03-26 11:25:00,2026-03-26 11:25:00,LocalBrand,store_1,77777777-7777-4777-a777-777777777717,active

